Year,CO2
1860,607.2843
1861,607.476
1862,607.7316
1863,608.0937
1864,608.5623
1865,609.0948
1866,609.7338
1867,610.4793
1868,611.3739
1869,612.1833
1870,612.8862
1871,613.5678
1872,614.2281
1873,614.8671
1874,615.4209
1875,615.7617
1876,615.8895
1877,615.8682
1878,615.8043
1879,615.783
1880,615.8682
1881,616.1877
1882,616.635
1883,617.1888
1884,617.7213
1885,618.2964
1886,619.0632
1887,620.1069
1888,621.1932
1889,622.1943
1890,623.0889
1891,623.9409
1892,624.6225
1893,625.0485
1894,625.2402
1895,625.4532
1896,625.7514
1897,626.1987
1898,626.9229
1899,627.7536
1900,628.5843
1901,629.4363
1902,630.3735
1903,631.3746
1904,632.3544
1905,633.2703
1906,633.9732
1907,634.4844
1908,634.953
1909,635.4216
1910,635.8689
1911,636.5079
1912,637.5303
1913,638.8083
1914,640.1715
1915,641.6199
1916,643.1109
1917,644.5167
1918,645.816
1919,646.881
1920,647.733
1921,648.4998
1922,649.1388
1923,649.5222
1924,649.6713
1925,649.7778
1926,650.1399
1927,650.8215
1928,651.5031
1929,652.0356
1930,652.419
1931,652.845
1932,653.3988
1933,654.0591
1934,654.8472
1935,655.827
1936,656.9772
1937,658.1913
1938,659.3841
1939,660.4491
1940,661.4715
1941,662.4513
1942,663.3885
1943,664.0062
1944,664.2618
1945,664.1979
1946,664.0062
1947,663.7506
1948,663.6015
1949,663.7506
1950,664.1766
1951,664.773
1952,665.4759
1953,666.3705
1954,667.4781
1955,668.7135
1956,669.7572
1957,670.4601
1958,670.9074
1959,673.0374
1960,675.0183
1961,676.5732
1962,678.2985
1963,679.4487
1964,680.7906
1965,681.6852
1966,684.5181
1967,686.2434
1968,688.0965
1969,691.4406
1970,693.6984
1971,695.0616
1972,697.4898
1973,702.2184
1974,703.3047
1975,705.3069
1976,707.2239
1977,711.0792
1978,714.4233
1979,717.4692
1980,721.5588
1981,724.4556
1982,727.3524
1983,730.9095
1984,734.5731
1985,737.7255
1986,740.4093
1987,744.0303
1988,749.0997
1989,752.316
1990,754.9785
1991,757.641
1992,759.4302
1993,760.8573
1994,764.5848
1995,768.8661
1996,772.6362
1997,775.0644
1998,781.3692
1999,784.9902
2000,787.4823
2001,790.9116
2002,795.4485
2003,800.8374
2004,804.501
2005,809.3574
2006,813.8517
2007,817.9626
2008,821.8179
2009,825.6732
2010,830.913
2011,834.6405
2012,839.3478
2013,845.0562
2014,849.4653
2015,854.1513
2016,861.3933
2017,866.3988
2018,870.5736
2019,876.8358
2020,882.3312
2021,887.0385
